circuit_name,deenergize_time,restoration_time,time_out_min,key_communities,hftd_tier,total_affected,residential_affected,zip_code,longitude,latitude,substn_present,total_pop,median_age,median_income,white_pct,tmin_d-4,tmax_d-4,wspd_d-4,tmin_d-3,tmax_d-3,wspd_d-3,tmin_d-2,tmax_d-2,wspd_d-2,tmin_d-1,tmax_d-1,wspd_d-1,tmin_d-0,tmax_d-0,wspd_d-0
ORO FINO,2020-09-27 04:35:00,2020-09-28 18:56:00,2301.0,"BUTTE MEADOWS, FOREST RANCH, MAGALIA, STIRLING CITY",3.0,1971.0,1836.0,95954,-121.610785061424,39.8715625311378,True,12221.0,47.5,53547.0,0.8702233859749612,9.8,25.3,7.3,9.5,25.3,5.8,9.7,25.7,4.6,15.6,25.5,6.3,,,
PARADISE,2020-09-27 04:02:00,2020-09-28 13:59:00,2037.0,PARADISE,3.0,242.0,230.0,95969,-121.61873043547,39.7606629529058,True,19112.0,56.5,49681.0,0.9143993302637087,9.8,25.3,7.3,9.5,25.3,5.8,9.7,25.7,4.6,15.6,25.5,6.3,,,
PARADISE,2020-09-27 04:02:00,2020-09-28 15:50:00,2148.0,PARADISE,3.0,1782.0,1599.0,95969,-121.61873043547,39.7606629529058,True,19112.0,56.5,49681.0,0.9143993302637087,9.8,25.3,7.3,9.5,25.3,5.8,9.7,25.7,4.6,15.6,25.5,6.3,,,
PARADISE,2020-09-27 04:14:00,2020-09-28 14:41:00,2067.0,"MAGALIA, PARADISE",3.0,1368.0,1136.0,95969,-121.61873043547,39.7606629529058,True,19112.0,56.5,49681.0,0.9143993302637087,9.8,25.3,7.3,9.5,25.3,5.8,9.7,25.7,4.6,15.6,25.5,6.3,,,
PARADISE,2020-09-27 04:12:00,2020-09-28 13:18:00,1986.0,PARADISE,3.0,415.0,357.0,95969,-121.61873043547,39.7606629529058,True,19112.0,56.5,49681.0,0.9143993302637087,9.8,25.3,7.3,9.5,25.3,5.8,9.7,25.7,4.6,15.6,25.5,6.3,,,
PIKE CITY,2020-09-27 18:33:00,2020-09-28 15:21:00,1248.0,"CAMPTONVILLE, NORTH SAN JUAN",3.0,384.0,339.0,95960,-120.996098746746,39.4381061051293,True,592.0,40.3,33910.0,0.9797297297297297,19.0,28.0,7.3,17.0,27.0,5.8,14.0,26.0,4.6,16.0,25.0,6.3,,,
PIKE CITY,2020-09-27 18:31:00,2020-09-28 14:08:00,1177.0,CAMPTONVILLE,3.0,24.0,15.0,95960,-120.996098746746,39.4381061051293,True,592.0,40.3,33910.0,0.9797297297297297,19.0,28.0,7.3,17.0,27.0,5.8,14.0,26.0,4.6,16.0,25.0,6.3,,,
PINE GROVE,2020-09-27 18:27:00,2020-09-28 13:17:00,1130.0,"FIDDLETOWN, PINE GROVE, PIONEER, SUTTER CREEK, VOLCANO",3.0,3626.0,3324.0,95665,-120.660233944587,38.4127977031006,True,3729.0,51.1,62688.0,0.8345400911772594,17.0,30.0,5.7,14.0,28.0,7.0,13.0,27.0,5.7,19.0,28.0,10.4,,,
PLACERVILLE,2020-09-27 18:12:00,2020-09-28 11:36:00,1044.0,PLACERVILLE,2.0,506.0,409.0,95667,-120.783838608274,38.7308986421241,True,35452.0,50.4,74324.0,0.9177761480311407,17.0,29.0,9.6,17.0,27.0,10.0,14.0,27.0,7.5,18.0,27.0,8.8,,,
PLACERVILLE,2020-09-27 18:07:00,2020-09-28 11:57:00,1070.0,PLACERVILLE,3.0,1197.0,1136.0,95667,-120.783838608274,38.7308986421241,True,35452.0,50.4,74324.0,0.9177761480311407,17.0,29.0,9.6,17.0,27.0,10.0,14.0,27.0,7.5,18.0,27.0,8.8,,,
