Circuit Name,De-Energization Date and Time (PDT),Restoration Date and Time (PDT),Counties,HFTD Tier(s),Total Customers,Residential Customers,Commercial / Industrial Customers,Medical Baseline Customers,Other Customers
"DIAMOND SPRINGS
1105",10/25/2020 15:39,10/27/2020 10:49,"DIAMOND
SPRINGS, EL
DORADO,
PLACERVILLE,
SHINGLE SPRINGS","Partially
Outside
HFTD,
Tier 3,
Tier 2",2464,2165,295,201,4
"DIAMOND SPRINGS
1106*",10/25/2020 15:49,10/27/2020 11:16,"DIAMOND
SPRINGS,
PLACERVILLE","Partially
Outside
HFTD,
Tier 2",2349,2251,96,203,2
"DIAMOND SPRINGS
1107*",10/25/2020 16:09,10/26/2020 14:50,"PLACERVILLE,
SHINGLE SPRINGS","Partially
Outside
HFTD,
Tier 3,
Tier 2",1286,1222,64,110,0
DOBBINS 1101,10/25/2020 14:11,10/27/2020 13:50,"CAMPTONVILLE,
DOBBINS, OREGON
HOUSE","Partially
Outside
HFTD,
Tier 3,
Tier 2",861,742,101,63,18
DRUM 1101,10/25/2020 15:10,10/27/2020 18:53,"ALTA, BAXTER,
EMIGRANT GAP",Tier 3,192,144,42,5,6
DUNBAR 1101,10/25/2020 15:04,10/27/2020 18:37,"GLEN ELLEN,
KENWOOD, SANTA
ROSA","Partially
Outside
HFTD,
Tier 3,
Tier 2",3191,2887,245,284,59
DUNBAR 1102,10/25/2020 15:05,10/28/2020 11:45,"GLEN ELLEN,
SANTA ROSA,
SONOMA","Partially
Outside
HFTD,
Tier 3,
Tier 2",1705,1486,177,81,42
DUNBAR 1103,10/25/2020 15:04,10/27/2020 19:20,"GLEN ELLEN,
SONOMA","Partially
Outside
HFTD,
Tier 3,
Tier 2",946,790,112,29,44
ECHO SUMMIT 1101,10/25/2020 15:48,10/27/2020 21:27,"LITTLE NORWAY,
TWIN BRIDGES","Partially
Outside
HFTD,
Tier 2",389,355,31,7,3
EDES 1112*,10/25/2020 20:04,10/26/2020 19:54,OAKLAND,"Partially
Outside
HFTD,
Tier 3,
Tier 2",2708,2590,104,169,14
EL CERRITO G 1105*,10/25/2020 20:04,10/26/2020 18:07,BERKELEY,"Partially
Outside
HFTD,
Tier 3",21,4,17,0,0
EL DORADO PH 2101,10/25/2020 15:37,10/28/2020 18:28,"GRIZZLY FLATS,
KYBURZ, PACIFIC
HOUSE,
PLACERVILLE,
POLLOCK PINES,
SOMERSET, TWIN
BRIDGES","Partially
Outside
HFTD,
Tier 3,
Tier 2",4572,4302,262,310,8
EL DORADO PH 2102,10/25/2020 16:40,10/27/2020 16:27,POLLOCK PINES,Tier 3,1599,1462,136,108,1
ELECTRA 1101*,10/25/2020 16:02,10/27/2020 9:00,"JACKSON, PINE
GROVE",Tier 2,1342,1254,79,116,9
ELECTRA 1102*,10/25/2020 16:03,10/27/2020 10:59,"JACKSON,
MOKELUMNE HILL",Tier 2,79,70,9,1,0
ELK CREEK 1101,10/25/2020 10:14,10/26/2020 18:17,"ELK CREEK,
ORLAND,
STONYFORD,
WILLOWS","Partially
Outside
HFTD,
Tier 2",851,692,132,46,27
FELTON 0401,10/25/2020 22:07,10/26/2020 18:54,"BEN LOMOND,
FELTON","Partially
Outside
HFTD,
Tier 3,
Tier 2",47,39,8,3,0
"FITCH MOUNTAIN
1113*",10/25/2020 19:04,10/27/2020 11:56,HEALDSBURG,"Partially
Outside
HFTD,
Tier 3,
Tier 2",568,395,88,17,85
FORESTHILL 1101,10/25/2020 15:16,10/27/2020 13:28,FORESTHILL,"Tier 3,
Tier 2",2220,2073,146,182,1
FORESTHILL 1102,10/25/2020 15:17,10/27/2020 11:18,FORESTHILL,"Tier 3,
Tier 2",421,399,22,21,0
FORT ROSS 1121*,10/25/2020 19:13,10/27/2020 16:35,"CAZADERO,
JENNER","Tier 3,
Tier 2",248,188,50,8,10
FORT SEWARD 1121,10/25/2020 16:08,10/26/2020 14:23,"ALDERPOINT,
ZENIA","Partially
Outside
HFTD,
Tier 2",211,167,36,12,8
FORT SEWARD 1122,10/25/2020 16:12,10/26/2020 16:23,"ALDERPOINT,
BLOCKSBURG,
GARBERVILLE","Partially
Outside
HFTD,
Tier 2",89,71,16,1,2
FREMONT 1104*,10/25/2020 20:54,10/26/2020 18:19,FREMONT,"Partially
Outside
HFTD,
Tier 2",23,21,0,0,2
FROGTOWN 1701,10/25/2020 15:13,10/27/2020 12:29,"ANGELS CAMP,
AVERY, DOUGLAS
FLAT, MURPHYS,
SHEEP RANCH","Partially
Outside
HFTD,
Tier 3,
Tier 2",1926,1569,327,126,30
FROGTOWN 1702*,10/25/2020 15:18,10/27/2020 13:48,"ANGELS CAMP,
MURPHYS,
VALLECITO","Partially
Outside
HFTD,
Tier 2",810,705,92,46,13
FRUITLAND 1141,10/25/2020 16:51,10/25/2020 18:18,"MYERS FLAT,
REDCREST, WEOTT","Partially
Outside
HFTD,
Tier 2",360,261,74,8,25
FRUITLAND 1142,10/25/2020 16:22,10/26/2020 16:04,"MIRANDA, MYERS
FLAT,
PHILLIPSVILLE","Partially
Outside
HFTD,
Tier 2",719,614,100,17,5
FULTON 1102*,10/25/2020 15:07,10/27/2020 16:23,"HEALDSBURG,
SANTA ROSA","Partially
Outside
HFTD,
Tier 3,
Tier 2",315,228,39,9,48
FULTON 1107*,10/25/2020 15:08,10/27/2020 18:52,SANTA ROSA,Tier 3,372,253,113,19,6
GANSNER 1101*,10/25/2020 14:53,10/27/2020 15:48,MEADOW VALLEY,"Partially
Outside
HFTD,
Tier 3,
Tier 2",325,306,17,24,2
GARBERVILLE 1101*,10/25/2020 16:08,10/26/2020 17:02,GARBERVILLE,"Partially
Outside
HFTD,
Tier 2",281,216,60,9,5
GEYSERVILLE 1101*,10/25/2020 19:07,10/27/2020 12:34,"GEYSERVILLE,
HEALDSBURG","Partially
Outside
HFTD,
Tier 2",89,57,20,3,12
GEYSERVILLE 1102*,10/25/2020 16:44,10/27/2020 18:22,"CLOVERDALE,
GEYSERVILLE,
HEALDSBURG","Partially
Outside
HFTD,
Tier 3,
Tier 2",535,322,129,9,84
GIRVAN 1101,10/25/2020 10:34,10/26/2020 14:39,"ANDERSON,
COTTONWOOD,
IGO, REDDING","Partially
Outside
HFTD,
Tier 3,
Tier 2",1187,1061,122,95,4
GIRVAN 1102*,10/25/2020 10:45,10/26/2020 23:02,REDDING,"Partially
Outside
HFTD,
Tier 3,
Tier 2",1128,874,249,72,5
GLENN 1101*,10/25/2020 10:09,10/26/2020 13:45,ORLAND,"Partially
Outside
HFTD,
Tier 2",5,3,1,0,1
GRASS VALLEY 1101*,10/25/2020 17:01,10/27/2020 12:15,GRASS VALLEY,"Partially
Outside
HFTD,
Tier 3,
Tier 2",331,297,31,26,3
GRASS VALLEY 1103,10/25/2020 17:25,10/27/2020 11:01,"GRASS VALLEY,
PENN VALLEY","Partially
Outside
HFTD,
Tier 2",1446,1277,160,85,9
"HALF MOON BAY
1101*",10/25/2020 22:20,10/27/2020 10:51,"HALF MOON BAY,
SAN MATEO,
WOODSIDE","Partially
Outside
HFTD,
Tier 3,
Tier 2",338,218,87,8,33
"HALF MOON BAY
1103*",10/25/2020 22:00,10/27/2020 11:04,"HALF MOON BAY,
LA HONDA,
PESCADERO, SAN
GREGORIO,
WOODSIDE","Partially
Outside
HFTD,
Tier 3,
Tier 2",1936,1495,341,49,100
HALSEY 1101,10/25/2020 15:14,10/27/2020 11:37,"AUBURN, MEADOW
VISTA","Partially
Outside
HFTD,
Tier 2",2283,2132,149,149,2
HALSEY 1102,10/25/2020 15:13,10/26/2020 14:41,"APPLEGATE,
AUBURN, COLFAX,
MEADOW VISTA","Partially
Outside
HFTD,
Tier 2",2059,1703,328,147,28
HARTLEY 1101*,10/25/2020 16:17,10/27/2020 12:47,LAKEPORT,"Partially
Outside
HFTD,
Tier 2",1554,1282,254,108,18
HARTLEY 1102*,10/25/2020 16:14,10/27/2020 9:51,LAKEPORT,"Partially
Outside
HFTD,
Tier 2",10,10,0,3,0
HIGGINS 1103*,10/25/2020 17:42,10/27/2020 12:23,"AUBURN, GRASS
VALLEY","Partially
Outside
HFTD,
Tier 2",1914,1794,118,152,2
HIGGINS 1104,10/25/2020 17:29,10/27/2020 14:43,GRASS VALLEY,"Partially
Outside
HFTD,
Tier 2",2709,2649,59,203,1
HIGGINS 1107,10/25/2020 17:30,10/27/2020 8:33,"AUBURN, GRASS
VALLEY","Partially
Outside
HFTD,
Tier 2",1685,1587,98,130,0
HIGGINS 1109*,10/25/2020 18:32,10/26/2020 18:38,"AUBURN, GRASS
VALLEY","Partially
Outside
HFTD,
Tier 2",1609,1417,169,123,23
HIGGINS 1110*,10/25/2020 17:38,10/27/2020 17:09,"AUBURN, GRASS
VALLEY","Partially
Outside
HFTD,
Tier 2",972,930,42,66,0
HIGHLANDS 1102*,10/25/2020 16:03,10/27/2020 15:05,CLEARLAKE OAKS,"Tier 3,
Tier 2",24,17,7,0,0
HIGHLANDS 1103*,10/25/2020 15:27,10/27/2020 18:45,"CLEARLAKE,
HIDDEN VALLEY
LAKE, LOWER
LAKE,
MIDDLETOWN","Partially
Outside
HFTD,
Tier 2",1926,1719,175,142,32
HIGHLANDS 1104*,10/27/2020 17:34,10/27/2020 23:35,CLEARLAKE,"Partially
Outside
HFTD",23,0,23,0,0
HOPLAND 1101*,10/25/2020 15:18,10/27/2020 10:43,"HOPLAND,
LAKEPORT","Partially
Outside
HFTD,
Tier 2",58,34,13,0,11
JAMESON 1102*,10/25/2020 15:42,10/27/2020 9:19,"FAIRFIELD, SUISUN
CITY","Partially
Outside
HFTD,
Tier 2",632,576,52,53,4
JAMESON 1103*,10/25/2020 15:40,10/27/2020 10:07,VALLEJO,"Partially
Outside
HFTD,
Tier 2",42,33,8,5,1
JAMESON 1105*,10/25/2020 15:28,10/27/2020 10:58,"FAIRFIELD, SUISUN
CITY","Partially
Outside
HFTD,
Tier 2",524,368,86,21,70
JARVIS 1111*,10/25/2020 20:53,10/27/2020 9:27,FREMONT,"Partially
Outside
HFTD,
Tier 3,
Tier 2",15,4,8,0,3
JESSUP 1101*,10/25/2020 10:15,10/26/2020 19:05,"ANDERSON, IGO,
REDDING","Partially
Outside
HFTD,
Tier 3,
Tier 2",1526,1445,78,157,3
JESSUP 1102*,10/25/2020 10:00,10/26/2020 19:07,ANDERSON,"Partially
Outside
HFTD,
Tier 2",1549,1493,55,154,1
JESSUP 1103*,10/25/2020 10:12,10/27/2020 6:04,"ANDERSON,
REDDING","Partially
Outside
HFTD,
Tier 2",159,147,12,7,0
KANAKA 1101*,10/25/2020 14:00,10/27/2020 17:35,"FORBESTOWN,
OROVILLE",Tier 3,367,337,26,25,4
KERCKHOFF 1101,10/25/2020 21:13,10/27/2020 12:45,"AUBERRY, O
NEALS",Tier 2,261,227,33,25,1
KESWICK 1101,10/25/2020 10:04,10/26/2020 17:30,"REDDING, SHASTA,
WHISKEYTOWN","Tier 3,
Tier 2",481,386,92,21,3
KONOCTI 1102,10/25/2020 16:12,10/27/2020 16:32,"COBB,
KELSEYVILLE,
LOCH LOMOND,
LOWER LAKE,
MIDDLETOWN","Partially
Outside
HFTD,
Tier 3,
Tier 2",2775,2420,278,156,77
KONOCTI 1108,10/25/2020 16:14,10/27/2020 12:52,KELSEYVILLE,"Partially
Outside
HFTD,
Tier 2",1983,1879,101,171,3
LAKEVILLE 1102*,10/25/2020 15:07,10/28/2020 10:16,PETALUMA,"Partially
Outside
HFTD,
Tier 2",148,98,23,6,27
LAS AROMAS 0401,10/25/2020 20:01,10/27/2020 16:22,ORINDA,"Partially
Outside
HFTD,
Tier 2",424,413,11,26,0
"LAS GALLINAS A
1105*",10/25/2020 19:01,10/26/2020 17:54,NICASIO,"Tier 3,
Tier 2",84,70,13,3,1
LAS POSITAS 2108*,10/25/2020 20:59,10/26/2020 18:32,LIVERMORE,"Partially
Outside
HFTD,
Tier 2",41,11,27,1,3
