X,Y,OBJECTID,Owner,Path,Source,Type,HIFLD_ID,Name,Max_Voltage,ZIP_CODE,STATE,COUNTY,CITY,Lon,Lat
-13544995.3211,4567997.6449,101,PG&E,,CEC,SUBSTATION,305606,Brentwood,,94513,CA,Contra Costa County,Unincorporated,-121.676763202789,37.9190574345377
-13560322.1594,4563228.388,102,Other,,CEC,SUBSTATION,300121,Briones,60,94517,CA,Contra Costa County,Unincorporated,-121.814446533982,37.8852517240271
-13604173.2961,4579830.128,103,PG&E,,CEC,SUBSTATION,300153,Christie,115,94553,CA,Contra Costa County,Unincorporated,-122.208367996692,38.002862018562
-13577538.9003,4571532.0601,104,PG&E,,CEC,SUBSTATION,303412,Clayton,115,94521,CA,Contra Costa County,Concord,-121.969107148625,37.944100251997
-13565761.7514,4583097.1719,105,Other,,CEC,SUBSTATION,307092,Columbia Steel,115,94565,CA,Contra Costa County,Pittsburg,-121.863311219667,38.0259842882497
-13560445.2187,4581335.6314,106,PG&E,,CEC,SUBSTATION,305643,Antioch,60,94509,CA,Contra Costa County,Antioch,-121.815551994177,38.0135180172301
-13556801.8546,4579362.9041,107,PG&E,,CEC,SUBSTATION,304763,Contra Costa,230,94509,CA,Contra Costa County,Antioch,-121.782823097568,37.9995546786926
-13564767.4968,4583281.3039,108,Other,,CEC,SUBSTATION,306032,Dow Chemical,,94565,CA,Contra Costa County,Pittsburg,-121.854379678941,38.0272872521143
-13601799.7276,4561917.2333,109,PG&E,,CEC,SUBSTATION,301921,East Portal,115,94563,CA,Contra Costa County,Orinda,-122.187045868115,37.8759552041017
-13614621.0985,4567601.8094,110,PG&E,,CEC,SUBSTATION,304175,El Cerrito Station G,115,94530,CA,Contra Costa County,El Cerrito,-122.302222202578,37.9162522425779
-13555810.6128,4581685.8054,111,PG&E,,CEC,SUBSTATION,304242,Fibreboard,115,94509,CA,Contra Costa County,Antioch,-121.773918620693,38.0159963372696
-13610402.9561,4581136.2674,112,PG&E,,CEC,SUBSTATION,306689,Franklin,60,94547,CA,Contra Costa County,Hercules,-122.264329984798,38.0121070021043
-13534910.0221,4553566.8173,113,PG&E,,CEC,SUBSTATION,303302,Herdlyn,60,94514,CA,Contra Costa County,Unincorporated,-121.586165420165,37.8167204646072
-13588464.7456,4579657.0076,114,PG&E,,CEC,SUBSTATION,303584,Imhoff,115,94553,CA,Contra Costa County,Unincorporated,-122.067255686718,38.0016365675187
-13570508.8345,4582363.0165,115,PG&E,East Bay,CEC,SUBSTATION,309545,Kirker,115,94565,CA,Contra Costa County,Pittsburg,-121.905954993399,38.0207889914656
-13587360.3639,4566495.3033,116,PG&E,,CEC,SUBSTATION,305570,Lakewood,115,94597,CA,Contra Costa County,Walnut Creek,-122.057334857148,37.9084101292426
-13550108.5088,4565713.0266,117,PG&E,,CEC,SUBSTATION,303575,Marsh,60,94513,CA,Contra Costa County,Brentwood,-121.722695749776,37.9028654142574
-13586794.668,4574234.6182,118,PG&E,,CEC,SUBSTATION,307646,Meadow Lane,115,94520,CA,Contra Costa County,Concord,-122.052253124879,37.963243256322
-13598881.597,4557942.2277,119,PG&E,East Bay,CEC,SUBSTATION,301876,Moraga,230,94563,CA,Contra Costa County,Orinda,-122.160831854805,37.8477639291833
-13569489.2604,4584628.8328,120,PG&E,East Bay,CEC,SUBSTATION,306987,Pittsburg,230,94565,CA,Contra Costa County,Pittsburg,-121.896796003178,38.0368219969436
-13619728.541,4578849.6853,121,PG&E,,CEC,SUBSTATION,302095,Point Pinole,115,94806,CA,Contra Costa County,Richmond,-122.348103139249,37.9959215829392
-13600803.4318,4584700.0682,122,Other,,CEC,SUBSTATION,303251,Port Costa Brick,60,94569,CA,Contra Costa County,Unincorporated,-122.178095990493,38.037326005011
-13566167.7943,4583093.1268,123,Other,,CEC,SUBSTATION,301740,Posco,,94565,CA,Contra Costa County,Pittsburg,-121.8669587654,38.0259556639865
-13589919.4229,4560323.597,124,PG&E,,CEC,SUBSTATION,309537,Rossmoor,230,94549,CA,Contra Costa County,Walnut Creek,-122.080323275875,37.8646542162563
-13577378.0751,4548733.9201,125,PG&E,,CEC,,,San Ramon Research Cntr.,230,94583,CA,Contra Costa County,Danville,-121.967662431613,37.7824159586659
-13618473.0935,4577348.8966,126,PG&E,,CEC,SUBSTATION,307126,San Pablo,,94806,CA,Contra Costa County,Richmond,-122.336825262541,37.9852964075059
-13573843.3887,4543426.6232,127,PG&E,East Bay,CEC,SUBSTATION,309611,San Ramon,230,94583,CA,Contra Costa County,San Ramon,-121.935909803562,37.7447257530459
-13604142.9139,4566078.8013,128,PG&E,,CEC,SUBSTATION,307001,Sobrante,230,94563,CA,Contra Costa County,Orinda,-122.208095069105,37.9054580481755
-13499562.3042,4755407.9186,129,PG&E,,CEC,SUBSTATION,309979,Narrows,60,95977,CA,Nevada County,Unincorporated,-121.268631468302,39.2351286694622
-13587863.7703,4582201.2519,130,PG&E,,CEC,SUBSTATION,309103,Tidewater,230,94553,CA,Contra Costa County,Unincorporated,-122.061857033496,38.0196442041148
-13607085.8803,4586973.295,131,PG&E,,CEC,SUBSTATION,308410,Unocal,,94525,CA,Contra Costa County,Unincorporated,-122.234532186104,38.0534078104891
-13592455.0264,4583516.9918,132,PG&E,,CEC,SUBSTATION,308825,Urich,60,94553,CA,Contra Costa County,Martinez,-122.103100988782,38.0289550044917
-13611994.1828,4574642.7848,133,PG&E,,CEC,SUBSTATION,301579,Valley View,115,94803,CA,Contra Costa County,Unincorporated,-122.27862421739,37.9661339847015
-13576633.444,4582925.6195,134,PG&E,,CEC,SUBSTATION,300160,Willow Pass,115,94565,CA,Contra Costa County,Unincorporated,-121.960973296009,38.0247703200609
-13826759.3057,5127045.4166,135,PCORP,,CEC,SUBSTATION,203296,Belmont,69,95531,CA,Del Norte County,Unincorporated,-124.207892141375,41.773060654714
-13819098.3452,5141176.3927,136,PCORP,,CEC,SUBSTATION,203292,Del Norte,115,95531,CA,Del Norte County,Unincorporated,-124.139072562797,41.8676618114726
-13799915.6289,5138275.9534,137,PCORP,,CEC,SUBSTATION,203293,Gasquet,115,95543,CA,Del Norte County,Unincorporated,-123.966751290358,41.848255945493
-13820090.6022,5138805.1186,138,PCORP,,CEC,SUBSTATION,203291,Lake Earl,,95531,CA,Del Norte County,Crescent City,-124.147986159052,41.8517968512378
-13814462.1451,5121052.7988,139,PCORP,,CEC,SUBSTATION,203301,Miller Redwood,69,95548,CA,Del Norte County,Unincorporated,-124.097424868424,41.7329003126277
-13825789.5327,5126000.7709,140,PCORP,,CEC,SUBSTATION,203298,Northcrest,69,95531,CA,Del Norte County,Crescent City,-124.199180522794,41.7660616281209
-13788551.6012,5143230.392,141,PCORP,,CEC,SUBSTATION,203306,Patrick'S Creek,115,95543,CA,Del Norte County,Unincorporated,-123.864666491901,41.8814008700706
-13821814.5422,5125217.4632,142,PCORP,,CEC,SUBSTATION,203295,Redwood,69,95531,CA,Del Norte County,Unincorporated,-124.163472575082,41.7608130402983
-13819137.4527,5149773.2576,143,PCORP,,CEC,SUBSTATION,203290,Simonson,,95567,CA,Del Norte County,Unincorporated,-124.139423870887,41.9251459539615
-13819265.6364,5143830.6913,144,PCORP,,CEC,SUBSTATION,203303,Smith River,,95567,CA,Del Norte County,Unincorporated,-124.140575364911,41.8854156725034
-13696202.3535,5127249.6385,145,PCORP,,CEC,SUBSTATION,203314,Steelhead,69,95568,CA,Siskiyou County,Unincorporated,-123.035079085659,41.7744288332248
-13809231.2463,5092821.6903,146,PCORP,,CEC,SUBSTATION,202983,Yurok,69,95548,CA,Del Norte County,Unincorporated,-124.050434904751,41.543367783621
-13356764.028,4704102.6066,147,Other,,CEC,SUBSTATION,309884,Meyers,,96150,CA,El Dorado County,Unincorporated,-119.985852727547,38.8772408894945
-13352021.8811,4711913.1225,148,Other,,CEC,,,Stateline,,96150,CA,El Dorado County,South Lake Tahoe,-119.943253296784,38.9318413118526
-13433720.5687,4684451.6905,149,PG&E,,CEC,,,Apple Hill,,95709,CA,El Dorado County,Unincorporated,-120.677165094886,38.7396829674102
-13050947.2438,4039496.3604,150,SCE,,CEC,SUBSTATION,302035,San Bernardino,,92408,CA,San Bernardino County,Redlands,-117.238653813617,34.0796073258406
-13450277.0846,4677850.1777,151,PG&E,,CEC,SUBSTATION,302248,Diamond Springs,115,95667,CA,El Dorado County,Unincorporated,-120.825894807298,38.6934122861058
-13427570.8755,4692435.9496,152,PG&E,SMUD,CEC,,,El Dorado,230,95726,CA,El Dorado County,Unincorporated,-120.621921461011,38.7956054290149
-13477132.5574,4705200.7882,153,PG&E,,CEC,SUBSTATION,303272,Flint,,95603,CA,Placer County,Auburn,-121.067141624099,38.8849204072515
-13467452.344,4669512.9351,154,PG&E,,CEC,SUBSTATION,310069,Limestone,,95682,CA,El Dorado County,Unincorporated,-120.980182787681,38.634932901836
-13471771.475,4709369.7242,155,PG&E,,CEC,SUBSTATION,303981,Mt. Quarries,60,95614,CA,El Dorado County,Unincorporated,-121.018982201925,38.9140659675594
-13480213.811,4698044.0703,156,PG&E,,CEC,SUBSTATION,306130,Newcastle,115,95658,CA,Placer County,Unincorporated,-121.094820996108,38.8348589936507
-13445595.4099,4683198.0879,157,PG&E,,CEC,SUBSTATION,304255,Placerville,115,95667,CA,El Dorado County,Placerville,-120.783838608274,38.7308986421241
-13463784.9591,4672985.7272,158,PG&E,,CEC,SUBSTATION,306505,Shingle Springs,,95682,CA,El Dorado County,Unincorporated,-120.947238108526,38.6592976874165
-13476286.764,4672475.4121,159,PG&E,,CEC,SUBSTATION,303839,Clarksville,,95762,CA,El Dorado County,Unincorporated,-121.059543733199,38.6557178829365
-12766172.3445,3976722.2031,160,Other,,CEC,SUBSTATION,304454,Blythe Walc,161,92225,CA,Riverside County,Blythe,-114.680477367252,33.6112583721703
-13400857.8675,4700249.3327,161,SMUD,,CEC,SUBSTATION,307578,Jones Fork,,00051,CA,El Dorado County,Unincorporated,-120.381954427227,38.8502886139595
-13427280.2769,4692117.7578,162,PG&E,SMUD,CEC,SUBSTATION,308707,Camino,,95726,CA,El Dorado County,Unincorporated,-120.619310968734,38.7933776242048
