Circuit Name,HFTD Tier(s),De-Energization Date and Time (PDT),Counties,Restoration Date and Time (PDT),,,,,,,,
BUCKS CREEK 1103,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:17",QUINCY,"10/11/2019
17:50",,,,,,,,
BUTTE 1105,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:14",CHICO,"10/11/2019
11:48",,,,,,,,
"CALAVERAS CEMENT
1101","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
15:45","SAN ANDREAS,
MOKELUMNE HILL,
MOUNTAIN RANCH,
ANGELS CAMP, RAIL
ROAD FLAT, SHEEP
RANCH","10/11/2019
19:31",,,,,,,,
CALISTOGA 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:50",CALISTOGA,"10/12/2019
12:01",,,,,,,,
CALISTOGA 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:50",CALISTOGA,"10/11/2019
15:39",,,,,,,,
CALPELLA 1101*,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:33","REDWOOD VALLEY,
UKIAH, WILLITS","10/11/2019
07:35",,,,,,,,
CALWATER 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/10/2019
09:52",BAKERSFIELD,"10/11/2019
16:50",,,,,,,,
CAMP EVERS 2103*,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:12","SANTA CRUZ, SCOTTS
VALLEY","10/11/2019
15:45",,,,,,,,
CAMP EVERS 2104*,"TIER 3,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:42","SCOTTS VALLEY,
SANTA CRUZ","10/10/2019
18:06",,,,,,,,
CAMP EVERS 2105*,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:44","FELTON, BEN
LOMOND, MOUNT
HERMON, LOS GATOS,
SCOTTS VALLEY","10/11/2019
22:17",,,,,,,,
CAMP EVERS 2106*,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:43","SCOTTS VALLEY,
SANTA CRUZ, LOS
GATOS, FELTON,
SOQUEL, REDWOOD
ESTATES, MOUNT
HERMON","10/11/2019
17:10",,,,,,,,
CARLOTTA 1121,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:01","HYDESVILLE,
CARLOTTA, FORTUNA","10/10/2019
01:52",,,,,,,,
CASTRO VALLEY 1106*,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:01",CASTRO VALLEY,"10/10/2019
22:01",,,,,,,,
CASTRO VALLEY 1108*,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:10",CASTRO VALLEY,"10/11/2019
11:46",,,,,,,,
CEDAR CREEK 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:55","ROUND MOUNTAIN,
MONTGOMERY
CREEK, BIG BEND,
OAK RUN, BELLA
VISTA","10/12/2019
11:33",,,,,,,,
CHALLENGE 1101,"TIER 3, TIER 2","10/09/2019
02:28","LA PORTE, CLIPPER
MILLS, STRAWBERRY
VALLEY, CHALLENGE","10/12/2019
14:05",,,,,,,,
CHALLENGE 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:27","BROWNSVILLE,
CHALLENGE,
FORBESTOWN,
DOBBINS","10/12/2019
09:10",,,,,,,,
CLARK ROAD 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:04",OROVILLE,"10/11/2019
12:24",,,,,,,,
CLARK ROAD 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:04","OROVILLE, PARADISE","10/11/2019
13:55",,,,,,,,
CLARKSVILLE 2104,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:34","EL DORADO HILLS,
CAMERON PARK,
RESCUE","10/10/2019
18:58",,,,,,,,
CLARKSVILLE 2109,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:37",EL DORADO HILLS,"10/10/2019
17:06",,,,,,,,
CLEAR LAKE 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:47","KELSEYVILLE,
LAKEPORT, FINLEY","10/11/2019
15:01",,,,,,,,
CLEAR LAKE 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:47","LAKEPORT,
KELSEYVILLE","10/11/2019
11:24",,,,,,,,
CLOVERDALE 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:41","CLOVERDALE,
GEYSERVILLE","10/11/2019
12:00",,,,,,,,
COLUMBIA HILL 1101,"TIER 3, TIER 2","10/09/2019
02:24","NEVADA CITY, NORTH
SAN JUAN,
CAMPTONVILLE","10/12/2019
10:12",,,,,,,,
CORNING 1101*,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:12","CORNING, FLOURNOY","10/11/2019
15:55",,,,,,,,
CORNING 1102*,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:10","PASKENTA,
FLOURNOY, RED
BLUFF, CORNING","10/11/2019
17:51",,,,,,,,
CORONA 1103,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:36","PETALUMA,
PENNGROVE","10/10/2019
16:35",,,,,,,,
