Circuit Name,HFTD Tier(s),De-Energization Date and Time (PDT),Counties,Restoration Date and Time (PDT),,,,,,,,
RIO DELL 1101,NON-HFTD,"10/09/2019
01:04","RIO DELL, FORTUNA","10/10/2019
04:14",,,,,,,,
RIO DELL 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:04","RIO DELL, SCOTIA,
REDCREST,
HONEYDEW","10/10/2019
05:45",,,,,,,,
ROB ROY 2104,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:26","WATSONVILLE,
APTOS, FREEDOM","10/11/2019
17:25",,,,,,,,
ROB ROY 2105,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:20","APTOS, WATSONVILLE","10/11/2019
13:12",,,,,,,,
ROSSMOOR 1106,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:46",LAFAYETTE,"10/10/2019
17:15",,,,,,,,
ROSSMOOR 1108,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:44","MORAGA, LAFAYETTE","10/10/2019
17:54",,,,,,,,
SALT SPRINGS 2101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
15:14","ARNOLD, BEAR
VALLEY, PIONEER","10/12/2019
09:33",,,,,,,,
SALT SPRINGS 2102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
15:14","ARNOLD,
DORRINGTON, CAMP
CONNELL","10/11/2019
15:47",,,,,,,,
SAN BERNARD 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/10/2019
10:43","ARVIN, BAKERSFIELD","10/11/2019
16:49",,,,,,,,
SAN LEANDRO 1109,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:44","OAKLAND, SAN
LEANDRO","10/11/2019
13:51",,,,,,,,
SAN RAMON 2108,"TIER 3,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:13","SAN RAMON, CASTRO
VALLEY, MORAGA","10/11/2019
13:27",,,,,,,,
SANTA ROSA A 1104,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:59",SANTA ROSA,"10/11/2019
20:32",,,,,,,,
SARATOGA 1107,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:41","SARATOGA, LOS
GATOS","10/11/2019
15:20",,,,,,,,
SAUSALITO 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:45",SAUSALITO,"10/10/2019
15:12",,,,,,,,
SAUSALITO 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:45","SAUSALITO, MILL
VALLEY","10/10/2019
17:57",,,,,,,,
SHADY GLEN 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:07","COLFAX, GRASS
VALLEY","10/11/2019
15:19",,,,,,,,
SHADY GLEN 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:07","COLFAX, GRASS
VALLEY","10/11/2019
17:07",,,,,,,,
SHINGLE SPRINGS 2105,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:55","CAMERON PARK,
SHINGLE SPRINGS,
RESCUE","10/10/2019
17:05",,,,,,,,
SHINGLE SPRINGS 2109,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:00","PLACERVILLE,
SHINGLE SPRINGS,
RESCUE, LOTUS,
COLOMA, GARDEN
VALLEY","10/11/2019
16:53",,,,,,,,
SILVERADO 2102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:00","SAINT HELENA,
RUTHERFORD,
OAKVILLE, NAPA,
LAKE BERRYESSA,
YOUNTVILLE","10/11/2019
19:05",,,,,,,,
SILVERADO 2103,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:00","SAINT HELENA,
RUTHERFORD,
OAKVILLE","10/11/2019
14:38",,,,,,,,
SILVERADO 2104,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:51","SAINT HELENA,
ANGWIN, POPE
VALLEY, DEER PARK,
CALISTOGA","10/10/2019
22:30",,,,,,,,
SILVERADO 2105,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:51","SAINT HELENA,
CALISTOGA","10/11/2019
14:28",,,,,,,,
SMARTVILLE 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:24","SMARTVILLE,
MARYSVILLE","10/11/2019
08:52",,,,,,,,
SOBRANTE 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:10","LAFAYETTE, ORINDA","10/10/2019
21:55",,,,,,,,
SOBRANTE 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:13","LAFAYETTE, ORINDA","10/11/2019
11:07",,,,,,,,
SONOMA 1102,"TIER 3,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:29",SONOMA,"10/10/2019
21:15",,,,,,,,
SONOMA 1103,"TIER 3,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:38",SONOMA,"10/11/2019
01:04",,,,,,,,
SONOMA 1104,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:55",SONOMA,"10/10/2019
22:43",,,,,,,,
SONOMA 1105,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:13",SONOMA,"10/11/2019
10:32",,,,,,,,
SONOMA 1106,"TIER 3,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:32",SONOMA,"10/10/2019
16:12",,,,,,,,
SONOMA 1107,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:37","SONOMA, PETALUMA","10/11/2019
00:55",,,,,,,,
SOQUEL 0402,NON-HFTD,"10/09/2019
23:18","CAPITOLA, SOQUEL","10/10/2019
19:23",,,,,,,,
SPAULDING 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:22","EMIGRANT GAP, SODA
SPRINGS","10/12/2019
09:30",,,,,,,,
SPRING GAP 1702,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
15:31","PINECREST,
STRAWBERRY, COLD
SPRINGS","10/11/2019
18:50",,,,,,,,
SPRUCE 0401,"TIER 3, TIER 2","10/09/2019
22:49","KENSINGTON,
BERKELEY","10/10/2019
15:38",,,,,,,,
SPRUCE 0402,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:49",BERKELEY,"10/10/2019
16:44",,,,,,,,
STANISLAUS 1701,"TIER 3, TIER 2","10/09/2019
15:31","MURPHYS, ARNOLD,
HATHAWAY PINES,
AVERY","10/11/2019
10:23",,,,,,,,
STANISLAUS 1702,"TIER 3, TIER 2","10/09/2019
15:28","ARNOLD, WHITE
PINES, AVERY,
MURPHYS,
HATHAWAY PINES","10/11/2019
10:23",,,,,,,,
STATION A EUREKA 1103,NON-HFTD,"10/09/2019
01:19",EUREKA,"10/10/2019
00:44",,,,,,,,
STATION A EUREKA 1106,NON-HFTD,"10/09/2019
01:19",EUREKA,"10/09/2019
23:45",,,,,,,,
STATION A EUREKA 1107,NON-HFTD,"10/09/2019
01:19",EUREKA,"10/09/2019
23:47",,,,,,,,
STATION E EUREKA 1104,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:20",EUREKA,"10/10/2019
00:11",,,,,,,,
STATION E EUREKA 1105,NON-HFTD,"10/09/2019
01:20",EUREKA,"10/09/2019
23:10",,,,,,,,
STELLING 1110,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:49","CUPERTINO, LOS
GATOS, SUNNYVALE,
SARATOGA","10/11/2019
18:43",,,,,,,,
STELLING 1111,NON-HFTD,"10/09/2019
23:49",CUPERTINO,"10/10/2019
12:44",,,,,,,,
"STILLWATER STATION
1101","TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:34",REDDING,"10/11/2019
14:48",,,,,,,,
"STILLWATER STATION
1102","TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:34",REDDING,"10/11/2019
15:36",,,,,,,,
SUBSTATION G 1105,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:49","BERKELEY, EL
CERRITO,
KENSINGTON,
RICHMOND","10/10/2019
18:57",,,,,,,,
SUBSTATION K 1102,TIER 3,"10/09/2019
22:52","OAKLAND, BERKELEY,
ORINDA","10/10/2019
18:50",,,,,,,,
SUBSTATION K 1104,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:37",OAKLAND,"10/10/2019
21:34",,,,,,,,
SUBSTATION X 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:37","OAKLAND, PIEDMONT","10/10/2019
19:18",,,,,,,,
SUBSTATION X 1106,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:49",OAKLAND,"10/10/2019
20:01",,,,,,,,
SUMMIT 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:13",SODA SPRINGS,"10/11/2019
18:24",,,,,,,,
SUMMIT 1102,TIER 2,"10/09/2019
02:13","SODA SPRINGS,
NORDEN","10/11/2019
18:36",,,,,,,,
SUNOL 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:43","SUNOL, PLEASANTON,
FREMONT,
LIVERMORE","10/10/2019
22:53",,,,,,,,
SWIFT 2102,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/10/2019
00:00",SAN JOSE,"10/10/2019
15:22",,,,,,,,
SWIFT 2107,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:56",SAN JOSE,"10/10/2019
17:43",,,,,,,,
SWIFT 2109*,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:38",SAN JOSE,"10/10/2019
15:48",,,,,,,,
SWIFT 2110,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/10/2019
00:05","SAN JOSE,
LIVERMORE","10/11/2019
14:17",,,,,,,,
SYCAMORE CREEK 1111,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:49","CHICO, COHASSET","10/11/2019
12:54",,,,,,,,
TAMARACK 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:18",SODA SPRINGS,"10/11/2019
18:57",,,,,,,,
TAMARACK 1102,NON-HFTD,"10/09/2019
02:18",SODA SPRINGS,"10/10/2019
21:28",,,,,,,,
TAR FLAT 0401,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
15:28",SONORA,"10/10/2019
15:40",,,,,,,,
TAR FLAT 0402,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
15:28",SONORA,"10/10/2019
17:16",,,,,,,,
TASSAJARA 2113,"TIER 3,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:25",SAN RAMON,"10/10/2019
16:00",,,,,,,,
TEJON 1102*,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/10/2019
10:58",LEBEC,"10/11/2019
20:04",,,,,,,,
TEJON 1103*,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/10/19 11:17,"ARVIN, BAKERSFIELD","10/11/2019
18:56",,,,,,,,
TIGER CREEK 0201,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
15:17",PIONEER,"10/10/2019
16:53",,,,,,,,
TRINIDAD 1101,NON-HFTD,"10/09/2019
00:49","TRINIDAD,
MCKINLEYVILLE","10/10/2019
03:51",,,,,,,,
TRINIDAD 1102,NON-HFTD,"10/09/2019
00:49",TRINIDAD,"10/10/2019
03:54",,,,,,,,
TULUCAY 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:03",NAPA,"10/10/2019
18:28",,,,,,,,
TYLER 1103,NON-HFTD,"10/09/2019
00:27",RED BLUFF,"10/10/2019
18:39",,,,,,,,
TYLER 1105,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:27",RED BLUFF,"10/11/2019
12:54",,,,,,,,
UKIAH 1114,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:29","UKIAH, BOONVILLE","10/11/2019
09:42",,,,,,,,
UKIAH 1115,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:29",UKIAH,"10/10/2019
21:34",,,,,,,,
UPPER LAKE 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:37","UPPER LAKE, WITTER
SPRINGS, LAKEPORT","10/12/2019
08:32",,,,,,,,
VACA DIXON 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:17",VACAVILLE,"10/10/2019
15:31",,,,,,,,
VACA DIXON 1105,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:18",VACAVILLE,"10/10/2019
18:54",,,,,,,,
VACAVILLE 1104,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:41","FAIRFIELD,
VACAVILLE","10/11/2019
08:00",,,,,,,,
VACAVILLE 1108,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:43",VACAVILLE,"10/11/2019
14:53",,,,,,,,
VACAVILLE 1109,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:44",VACAVILLE,"10/10/2019
18:31",,,,,,,,
VACAVILLE 1111,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:45",VACAVILLE,"10/10/2019
20:48",,,,,,,,
VACAVILLE 1112,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:47",VACAVILLE,"10/10/2019
18:09",,,,,,,,
VALLEY VIEW 1106,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:46","PINOLE, RICHMOND,
EL SOBRANTE","10/10/2019
16:15",,,,,,,,
VINA 1101,NON-HFTD,"10/09/2019
00:34",VINA,"10/10/2019
20:00",,,,,,,,
VOLTA 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:52","MANTON, MINERAL,
PAYNES CREEK, MILL
CREEK, RED BLUFF,
SHINGLETOWN","10/12/2019
10:36",,,,,,,,
VOLTA 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:52",SHINGLETOWN,"10/11/2019
15:31",,,,,,,,
WEIMAR 1102,TIER 2,"10/09/2019
02:07","COLFAX, MEADOW
VISTA, WEIMAR","10/11/2019
15:00",,,,,,,,
WEST POINT 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:33","PIONEER, VOLCANO","10/11/2019
17:08",,,,,,,,
WEST POINT 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:29","WEST POINT, RAIL
ROAD FLAT,
WILSEYVILLE,
MOUNTAIN RANCH,
GLENCOE,
MOKELUMNE HILL","10/12/2019
17:41",,,,,,,,
WESTLEY 1103,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
16:06",PATTERSON,"10/10/2019
17:48",,,,,,,,
WHEATLAND 1105,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:11",WHEATLAND,"10/10/2019
19:02",,,,,,,,
WHEELER RIDGE 1101,NON-HFTD,"10/10/2019
10:33","BAKERSFIELD, ARVIN,
METTLER STATION","10/11/2019
15:26",,,,,,,,
WHITMORE 1101,"TIER 3, TIER 2","10/09/2019
00:58","WHITMORE, OAK
RUN, MILLVILLE","10/11/2019
18:30",,,,,,,,
WILDWOOD 1101,TIER 2,"10/09/2019
01:55","PLATINA, WILDWOOD","10/12/2019
12:57",,,,,,,,
WILLOW CREEK 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:44","WILLOW CREEK, BLUE
LAKE","10/10/2019
12:29",,,,,,,,
WILLOW CREEK 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:44",WILLOW CREEK,"10/10/2019
11:53",,,,,,,,
WILLOW CREEK 1103,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:44","WILLOW CREEK,
BURNT RANCH,
SALYER, HAWKINS
BAR","10/10/2019
12:32",,,,,,,,
WISE 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:33","AUBURN, NEWCASTLE","10/10/2019
18:38",,,,,,,,
WISE 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:33","AUBURN,
NEWCASTLE,
LINCOLN","10/11/2019
16:01",,,,,,,,
WOOD 0401,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:37","PIEDMONT, OAKLAND","10/10/2019
19:18",,,,,,,,
WOODSIDE 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:00","WOODSIDE, PORTOLA
VALLEY, REDWOOD
CITY","10/11/2019
13:52",,,,,,,,
WYANDOTTE 1103,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:21","OROVILLE, BERRY
CREEK","10/11/2019
15:01",,,,,,,,
WYANDOTTE 1105,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:22",OROVILLE,"10/11/2019
13:20",,,,,,,,
WYANDOTTE 1106,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:27","OROVILLE, BIGGS,
PALERMO","10/11/2019
09:52",,,,,,,,
WYANDOTTE 1107,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:30",OROVILLE,"10/11/2019
18:44",,,,,,,,
WYANDOTTE 1109,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:32","OROVILLE, PALERMO","10/11/2019
17:51",,,,,,,,
